state,financial_year,udise_formula_academic_year,udise_report_year,udise_formula_school_count,formula_small10_rupees,formula_small25_rupees,recorded_receipt_total_rupees,recorded_expenditure_total_rupees,receipt_reporting_rate
ANDAMAN & NICOBAR ISLANDS,2021-22,2019-20,2022-23,336,10545000.0,12675000.0,20480820.0,19188220.0,1.0
ANDHRA PRADESH,2021-22,2019-20,2022-23,44860,1221435000.0,1483050000.0,1043945827.285,944872275.34,1.0
ARUNACHAL PRADESH,2021-22,2019-20,2022-23,2898,65955000.0,89700000.0,75593510.0,74767334.0,1.0
ASSAM,2021-22,2019-20,2022-23,46606,1418685000.0,1606050000.0,1959380399.58,1767371595.43373,1.0
BIHAR,2021-22,2019-20,2022-23,72467,3882215000.0,3892850000.0,655449457.8,560419671.8,1.0
CHANDIGARH,2021-22,2019-20,2022-23,114,10075000.0,10075000.0,18705664.0,18226759.0,1.0
CHHATTISGARH,2021-22,2019-20,2022-23,48398,1361930000.0,1541750000.0,1733876788.5399995,1386919519.178,1.0
DADRA & NAGAR HAVELI & DAMAN & DIU,2021-22,2019-20,2022-23,404,15645000.0,16425000.0,20836374.0,19854578.0,1.0
DELHI,2021-22,2019-20,2022-23,2719,204215000.0,204425000.0,296409001.0,290305650.0,1.0
GOA,2021-22,2019-20,2022-23,818,15440000.0,23075000.0,21142083.61,19337261.5,1.0
GUJARAT,2021-22,2019-20,2022-23,34946,1433785000.0,1498525000.0,2148423886.98,1787971010.6699996,1.0
HARYANA,2021-22,2019-20,2022-23,14405,554690000.0,585950000.0,1022581403.52,949841012.55,1.0
HIMACHAL PRADESH,2021-22,2019-20,2022-23,15342,309540000.0,446850000.0,610689634.46,575699164.03,1.0
JAMMU & KASHMIR,2021-22,2019-20,2022-23,22250,459445000.0,635425000.0,533813439.595,486686228.81500006,1.0
JHARKHAND,2021-22,2019-20,2022-23,35592,1262940000.0,1336425000.0,1584707311.4499998,1281009107.06,1.0
KARNATAKA,2021-22,2019-20,2022-23,49392,1484165000.0,1741775000.0,664636423.911,594006548.591,1.0
KERALA,2021-22,2019-20,2022-23,4958,221695000.0,233650000.0,396335692.5,365451094.0,1.0
LADAKH,2021-22,2019-20,2022-23,821,12120000.0,21450000.0,31658314.0,24499226.0,1.0
LAKSHADWEEP,2021-22,2019-20,2022-23,43,2475000.0,2475000.0,3378500.0,3254000.0,1.0
MADHYA PRADESH,2021-22,2019-20,2022-23,98908,2844800000.0,3241475000.0,1553816371.053999,1246972912.7719991,1.0
MAHARASHTRA,2021-22,2019-20,2022-23,65720,1795240000.0,2174800000.0,577641416.8399999,466007665.0999999,1.0
MANIPUR,2021-22,2019-20,2022-23,2843,63255000.0,83625000.0,57782142.0,57122493.0,1.0
MEGHALAYA,2021-22,2019-20,2022-23,7776,159715000.0,211225000.0,82211942.0,80466452.0,1.0
MIZORAM,2021-22,2019-20,2022-23,2529,51900000.0,67575000.0,105252711.0,102675154.0,1.0
NAGALAND,2021-22,2019-20,2022-23,1956,45120000.0,59475000.0,45481155.0,44569165.0,1.0
ODISHA,2021-22,2019-20,2022-23,53158,1608595000.0,1830175000.0,2364588062.02,2132740719.4,1.0
PUDUCHERRY,2021-22,2019-20,2022-23,414,17045000.0,17825000.0,29915552.0,27019126.0,1.0
PUNJAB,2021-22,2019-20,2022-23,19181,634655000.0,702200000.0,1751046727.1880026,1630766770.652999,1.0
RAJASTHAN,2021-22,2019-20,2022-23,67359,2361495000.0,2593125000.0,3070093078.63,2843201734.625,1.0
SIKKIM,2021-22,2019-20,2022-23,841,21845000.0,28400000.0,73965371.0,70306598.0,1.0
TAMIL NADU,2021-22,2019-20,2022-23,37464,1164840000.0,1344675000.0,2241177700.0,2116572817.0,1.0
TELANGANA,2021-22,2019-20,2022-23,28449,838665000.0,985425000.0,784029538.10045,718404667.23354,1.0
TRIPURA,2021-22,2019-20,2022-23,4258,136805000.0,157100000.0,185479422.2,171417628.0,1.0
UTTAR PRADESH,2021-22,2019-20,2022-23,137404,5295710000.0,5408975000.0,6072141821.985001,5676451712.097,1.0
UTTARAKHAND,2021-22,2019-20,2022-23,16510,336175000.0,488500000.0,593514701.272,546736171.1725,1.0
WEST BENGAL,2021-22,2019-20,2022-23,82834,2915830000.0,3122125000.0,2757851220.7127504,2285760883.843763,1.0
ANDAMAN & NICOBAR ISLANDS,2022-23,2020-21,2023-24,336,10295000.0,12500000.0,20339542.0,18060991.0,1.0
ANDHRA PRADESH,2022-23,2020-21,2023-24,45033,1354070000.0,1559675000.0,511476724.07000005,459645600.67,1.0
ARUNACHAL PRADESH,2022-23,2020-21,2023-24,2850,69325000.0,90100000.0,53739716.5,51687246.5,1.0
ASSAM,2022-23,2020-21,2023-24,46566,1430045000.0,1615925000.0,1955205800.05,1863428364.85,1.0
BIHAR,2022-23,2020-21,2023-24,75424,4040895000.0,4053450000.0,2616838350.5,2471947912.0,1.0
CHANDIGARH,2022-23,2020-21,2023-24,114,10025000.0,10025000.0,20769095.0,20758594.0,1.0
CHHATTISGARH,2022-23,2020-21,2023-24,48446,1369730000.0,1546850000.0,1981977574.05,1781454314.06,1.0
DADRA & NAGAR HAVELI & DAMAN & DIU,2022-23,2020-21,2023-24,402,15705000.0,16575000.0,46784044.0,45797645.0,1.0
DELHI,2022-23,2020-21,2023-24,2703,205220000.0,205400000.0,331580405.0,319006385.41,1.0
GOA,2022-23,2020-21,2023-24,813,15195000.0,22875000.0,31655432.0,29435581.0,1.0
GUJARAT,2022-23,2020-21,2023-24,34873,1442355000.0,1506900000.0,1649411872.6999998,1446290950.18,1.0
HARYANA,2022-23,2020-21,2023-24,14488,568510000.0,596725000.0,1125389203.5749998,950790484.895,1.0
HIMACHAL PRADESH,2022-23,2020-21,2023-24,15332,307655000.0,445625000.0,554075644.96,524379641.467,1.0
JAMMU & KASHMIR,2022-23,2020-21,2023-24,22225,461875000.0,639475000.0,510646862.12,484915385.12,1.0
JHARKHAND,2022-23,2020-21,2023-24,35572,1270730000.0,1345475000.0,1570884687.165,1448880819.665,1.0
KARNATAKA,2022-23,2020-21,2023-24,49370,1502595000.0,1753275000.0,596836193.545,510563176.98,1.0
KERALA,2022-23,2020-21,2023-24,4959,224970000.0,236475000.0,582622723.0,526882071.0,1.0
LADAKH,2022-23,2020-21,2023-24,807,12065000.0,21275000.0,73565963.25,67831668.25,1.0
