state,financial_year,source_status,exact_comparable_to_formula,csg_amount_lakh,formula_small10_lakh,formula_small25_lakh,recorded_receipt_total_lakh,recorded_expenditure_total_lakh,receipt_reporting_rate,expenditure_reporting_rate,pct_gap_vs_formula_small10,pct_gap_vs_formula_small25,approval_to_recorded_receipt_gap_pct
ANDAMAN & NICOBAR ISLANDS,2024-25,unresolved,False,,101.35,124.0,226.38649,216.58143,1.0,1.0,,,
ANDHRA PRADESH,2024-25,scoped_partial,False,10380.55,12219.65,15075.5,5368.576781000001,4998.9076430000005,1.0,1.0,-15.050349232588497,-31.14291399953568,-48.28234745750465
ARUNACHAL PRADESH,2024-25,unresolved,False,,603.9,826.5,493.7693,466.06324,1.0,1.0,,,
ASSAM,2024-25,unresolved,False,,14054.0,15749.0,35439.217396241,26785.383226641003,1.0,1.0,,,
BIHAR,2024-25,unresolved,False,,39998.55,40155.75,25747.570925,20909.6399609,1.0,1.0,,,
CHANDIGARH,2024-25,unresolved,False,,100.5,100.5,440.94115,438.64163,1.0,1.0,,,
CHHATTISGARH,2024-25,unresolved,False,,13690.1,15498.5,60599.87975823,21770.65346164,1.0,1.0,,,
DADRA & NAGAR HAVELI & DAMAN & DIU,2024-25,unresolved,False,,154.65,162.75,218.08955,210.5462,1.0,1.0,,,
DELHI,2024-25,unresolved,False,,2046.85,2048.5,3096.71762,3020.0210587,1.0,1.0,,,
GOA,2024-25,unresolved,False,,150.35,224.0,166.96827,134.50791,1.0,1.0,,,
GUJARAT,2024-25,unresolved,False,,14523.9,15162.75,26537.0252665,18275.51703293,1.0,1.0,,,
HARYANA,2024-25,exact_full,True,5778.35,5882.6,6119.75,14171.66545,8671.260674,1.0,1.0,-1.7721755686261176,-5.578659258956651,145.25453546427613
HIMACHAL PRADESH,2024-25,unresolved,False,,3116.45,4480.25,6550.105323719999,5608.4397641,1.0,1.0,,,
JAMMU & KASHMIR,2024-25,unresolved,False,,4445.7,5640.0,4349.9812377,4189.4014327,1.0,1.0,,,
JHARKHAND,2024-25,unresolved,False,,12732.9,13543.5,23791.85656755,16515.199302449997,1.0,1.0,,,
KARNATAKA,2024-25,scoped_partial,False,11459.0,15209.5,17701.75,15601.896970541,13107.523459431,1.0,1.0,-24.658930273842007,-35.26628723148841,36.15408823231521
KERALA,2024-25,unresolved,False,,2269.05,2349.0,2233.60063,1526.38005,1.0,1.0,,,
LADAKH,2024-25,unresolved,False,,120.7,210.25,456.31326,385.74117,1.0,1.0,,,
LAKSHADWEEP,2024-25,unresolved,False,,21.5,21.5,26.86875,26.83223,1.0,1.0,,,
MADHYA PRADESH,2024-25,unresolved,False,,27373.8,30959.25,20245.2475403,16598.4292081,1.0,1.0,,,
MAHARASHTRA,2024-25,exact_full,True,17338.65,17611.9,21480.25,13988.7342301,13061.841528990002,1.0,1.0,-1.551507787348327,-19.280967400286304,-19.320510938856252
MANIPUR,2024-25,unresolved,False,,638.7,831.0,588.21939,570.71149,1.0,1.0,,,
MEGHALAYA,2024-25,exact_full,True,1749.3,1529.7,2087.25,1355.2701157,904.860571,1.0,1.0,14.355756030594227,-16.19116061803809,-22.5250033899274
MIZORAM,2024-25,unresolved,False,,527.2,681.25,1820.84653685,1769.40664685,1.0,1.0,,,
NAGALAND,2024-25,unresolved,False,,423.2,571.25,526.0180772,507.9437372,1.0,1.0,,,
ODISHA,2024-25,unresolved,False,,16020.15,17453.25,23282.019875,18858.09827720001,1.0,1.0,,,
PUDUCHERRY,2024-25,unresolved,False,,179.6,185.75,396.37906,367.90306,1.0,1.0,,,
PUNJAB,2024-25,unresolved,False,,6516.35,7097.0,19061.12888902149,18319.90434122149,1.0,1.0,,,
RAJASTHAN,2024-25,exact_implementation,True,24697.85,24701.8,27181.0,25051.4657355,23654.1326456,1.0,1.0,-0.0159907375171069,-9.135609433059862,1.4317672813625608
SIKKIM,2024-25,unresolved,False,,202.4,275.75,241.588258,229.242388,1.0,1.0,,,
TAMIL NADU,2024-25,approx_full,True,12000.0,12238.15,13873.75,12624.2753335,12188.211535900002,1.0,1.0,-1.9459640550246533,-13.5057212361474,5.202294445833331
TELANGANA,2024-25,unresolved,False,,8699.8,10057.0,15354.327233347,14299.360838347002,1.0,1.0,,,
TRIPURA,2024-25,unresolved,False,,1283.0,1511.75,1432.468245,1264.847845,1.0,1.0,,,
UTTAR PRADESH,2024-25,unresolved,False,,54686.05,55651.75,101592.5625429,64949.76215916881,1.0,1.0,,,
UTTARAKHAND,2024-25,unresolved,False,,3366.7,4857.25,18065.02951325,13718.648529250002,1.0,1.0,,,
WEST BENGAL,2024-25,reported_full_approval,True,30550.0,28507.2,31050.0,24442.2591871,13988.219595099998,1.0,1.0,7.165908963349607,-1.610305958132045,-19.99260495220949
