state,financial_year,udise_formula_academic_year,udise_report_year,udise_formula_school_count,formula_small10_lakh,formula_small25_lakh,official_pab_entry_confirmed,official_pab_listing_url,source_status,administrative_stage,csg_amount_lakh,school_count,exact_comparable_to_formula,value_precision,source_tier,source_url,official_node_url,notes,pct_gap_vs_formula_small10,pct_gap_vs_formula_small25
ANDAMAN & NICOBAR ISLANDS,2024-25,2022-23,2025-26,333,101.35,124.0,True,https://dsel.education.gov.in/pab-minutes?field_financial_year_target_id=335&field_states_target_id=All,unresolved,unresolved,,,False,unresolved,unresolved,,,PAB 2024-25 State/UT entry confirmed in DoSE&L listing; CSG total not yet independently transcribed.,,
ANDHRA PRADESH,2024-25,2022-23,2025-26,44970,12219.65,15075.5,True,https://dsel.education.gov.in/pab-minutes?field_financial_year_target_id=335&field_states_target_id=All,scoped_partial,state_release_order_total_budget,10380.55,40728.0,False,exact_scoped,state_order_mirror,https://www.apteachers.in/2024/10/ap-school-composite-grants-2024-25.html,https://dsel.education.gov.in/hi/node/2937,"State order says 50% release Rs 5,190.275 lakh from overall budget Rs 10,380.55 lakh for 40,728 schools, based on PAB 2024-25; excludes specified school categories including PM SHRI/KGBV/junior-college/other society scopes. Not full-state comparable.",-15.050349232588497,-31.142913999535676
ARUNACHAL PRADESH,2024-25,2022-23,2025-26,2691,603.9,826.5,True,https://dsel.education.gov.in/pab-minutes?field_financial_year_target_id=335&field_states_target_id=All,unresolved,unresolved,,,False,unresolved,unresolved,,,PAB 2024-25 State/UT entry confirmed in DoSE&L listing; CSG total not yet independently transcribed.,,
ASSAM,2024-25,2022-23,2025-26,44804,14054.0,15749.0,True,https://dsel.education.gov.in/pab-minutes?field_financial_year_target_id=335&field_states_target_id=All,unresolved,unresolved,,,False,unresolved,unresolved,,,PAB 2024-25 State/UT entry confirmed in DoSE&L listing; CSG total not yet independently transcribed.,,
BIHAR,2024-25,2022-23,2025-26,75437,39998.55,40155.75,True,https://dsel.education.gov.in/pab-minutes?field_financial_year_target_id=335&field_states_target_id=All,unresolved,unresolved,,,False,unresolved,unresolved,,,PAB 2024-25 State/UT entry confirmed in DoSE&L listing; CSG total not yet independently transcribed.,,
CHANDIGARH,2024-25,2022-23,2025-26,112,100.5,100.5,True,https://dsel.education.gov.in/pab-minutes?field_financial_year_target_id=335&field_states_target_id=All,unresolved,unresolved,,,False,unresolved,unresolved,,,PAB 2024-25 State/UT entry confirmed in DoSE&L listing; CSG total not yet independently transcribed.,,
CHHATTISGARH,2024-25,2022-23,2025-26,48644,13690.1,15498.5,True,https://dsel.education.gov.in/pab-minutes?field_financial_year_target_id=335&field_states_target_id=All,unresolved,unresolved,,,False,unresolved,unresolved,,,PAB 2024-25 State/UT entry confirmed in DoSE&L listing; CSG total not yet independently transcribed.,,
DADRA & NAGAR HAVELI & DAMAN & DIU,2024-25,2022-23,2025-26,382,154.65,162.75,True,https://dsel.education.gov.in/pab-minutes?field_financial_year_target_id=335&field_states_target_id=All,unresolved,unresolved,,,False,unresolved,unresolved,,,PAB 2024-25 State/UT entry confirmed in DoSE&L listing; CSG total not yet independently transcribed.,,
DELHI,2024-25,2022-23,2025-26,2625,2046.85,2048.5,True,https://dsel.education.gov.in/pab-minutes?field_financial_year_target_id=335&field_states_target_id=All,unresolved,unresolved,,,False,unresolved,unresolved,,,PAB 2024-25 State/UT entry confirmed in DoSE&L listing; CSG total not yet independently transcribed.,,
GOA,2024-25,2022-23,2025-26,797,150.35,224.0,True,https://dsel.education.gov.in/pab-minutes?field_financial_year_target_id=335&field_states_target_id=All,unresolved,unresolved,,,False,unresolved,unresolved,,,PAB 2024-25 State/UT entry confirmed in DoSE&L listing; CSG total not yet independently transcribed.,,
GUJARAT,2024-25,2022-23,2025-26,34550,14523.9,15162.75,True,https://dsel.education.gov.in/pab-minutes?field_financial_year_target_id=335&field_states_target_id=All,unresolved,unresolved,,,False,unresolved,unresolved,,,PAB 2024-25 State/UT entry confirmed in DoSE&L listing; CSG total not yet independently transcribed.,,
HARYANA,2024-25,2022-23,2025-26,14355,5882.6,6119.75,True,https://dsel.education.gov.in/pab-minutes?field_financial_year_target_id=335&field_states_target_id=All,exact_full,PAB_recommended,5778.35,14219.0,True,exact,PAB_document_mirror,https://www.scribd.com/document/814333773/Haryana-PAB-2024-25,https://dsel.education.gov.in/hi/node/2919,"PAB costing sheet: elementary 10,951 schools / Rs 3,774.80 lakh plus secondary 3,268 / Rs 2,003.55 lakh. DoSEL recommended as proposed.",-1.7721755686261176,-5.578659258956651
HIMACHAL PRADESH,2024-25,2022-23,2025-26,15399,3116.45,4480.25,True,https://dsel.education.gov.in/pab-minutes?field_financial_year_target_id=335&field_states_target_id=All,unresolved,unresolved,,,False,unresolved,unresolved,,,PAB 2024-25 State/UT entry confirmed in DoSE&L listing; CSG total not yet independently transcribed.,,
JAMMU & KASHMIR,2024-25,2022-23,2025-26,18690,4445.7,5640.0,True,https://dsel.education.gov.in/pab-minutes?field_financial_year_target_id=335&field_states_target_id=All,unresolved,unresolved,,,False,unresolved,unresolved,,,PAB 2024-25 State/UT entry confirmed in DoSE&L listing; CSG total not yet independently transcribed.,,
JHARKHAND,2024-25,2022-23,2025-26,35566,12732.9,13543.5,True,https://dsel.education.gov.in/pab-minutes?field_financial_year_target_id=335&field_states_target_id=All,unresolved,unresolved,,,False,unresolved,unresolved,,,PAB 2024-25 State/UT entry confirmed in DoSE&L listing; CSG total not yet independently transcribed.,,
KARNATAKA,2024-25,2022-23,2025-26,49125,15209.5,17701.75,True,https://dsel.education.gov.in/pab-minutes?field_financial_year_target_id=335&field_states_target_id=All,scoped_partial,state_primary_school_approval,11459.0,42136.0,False,exact_scoped,state_order_mirror,https://www.scribd.com/document/789250032/2024-25-SchoolGrants-PrimSchool-030924-020924-Spd-StateGrants-GHPS-GLPS,,"State Project Director document SSK/AR/CSG/1/2024-25 reports Rs 11,459.00 lakh approved for 42,136 government primary schools. Elementary/primary scope only; not full-state comparable.",-24.658930273842007,-35.26628723148841
KERALA,2024-25,2022-23,2025-26,4740,2269.05,2349.0,True,https://dsel.education.gov.in/pab-minutes?field_financial_year_target_id=335&field_states_target_id=All,unresolved,unresolved,,,False,unresolved,unresolved,,,PAB 2024-25 State/UT entry confirmed in DoSE&L listing; CSG total not yet independently transcribed.,,
LADAKH,2024-25,2022-23,2025-26,795,120.7,210.25,True,https://dsel.education.gov.in/pab-minutes?field_financial_year_target_id=335&field_states_target_id=All,unresolved,unresolved,,,False,unresolved,unresolved,,,PAB 2024-25 State/UT entry confirmed in DoSE&L listing; CSG total not yet independently transcribed.,,
LAKSHADWEEP,2024-25,2022-23,2025-26,35,21.5,21.5,True,https://dsel.education.gov.in/pab-minutes?field_financial_year_target_id=335&field_states_target_id=All,unresolved,unresolved,,,False,unresolved,unresolved,,,PAB 2024-25 State/UT entry confirmed in DoSE&L listing; CSG total not yet independently transcribed.,,
MADHYA PRADESH,2024-25,2022-23,2025-26,92075,27373.8,30959.25,True,https://dsel.education.gov.in/pab-minutes?field_financial_year_target_id=335&field_states_target_id=All,unresolved,unresolved,,,False,unresolved,unresolved,,,PAB 2024-25 State/UT entry confirmed in DoSE&L listing; CSG total not yet independently transcribed.,,
MAHARASHTRA,2024-25,2022-23,2025-26,65295,17611.9,21480.25,True,https://dsel.education.gov.in/pab-minutes?field_financial_year_target_id=335&field_states_target_id=All,exact_full,state_order_reporting_PAB_approval,17338.65,64781.0,True,exact,state_order_mirror,https://www.shaleyshikshan.in/2025/03/composite-school-grant.html,,"State implementation material reports PAB-approved elementary 63,010 schools / Rs 16,307.25 lakh and secondary 1,771 / Rs 1,031.40 lakh.",-1.551507787348327,-19.280967400286304
MANIPUR,2024-25,2022-23,2025-26,2832,638.7,831.0,True,https://dsel.education.gov.in/pab-minutes?field_financial_year_target_id=335&field_states_target_id=All,unresolved,unresolved,,,False,unresolved,unresolved,,,PAB 2024-25 State/UT entry confirmed in DoSE&L listing; CSG total not yet independently transcribed.,,
